iter,loss,lr,val_psnr,sec_per_100it
25700,0.008971,5.872e-05,,26.6
25800,0.008865,5.800e-05,,26.5
25900,0.008935,5.728e-05,,26.3
26000,0.008704,5.657e-05,,26.6
26000,,,35.1118,
26100,0.009009,5.586e-05,,33.4
26200,0.008918,5.516e-05,,26.5
26300,0.008862,5.446e-05,,29.3
26400,0.008844,5.376e-05,,27.5
26500,0.008839,5.306e-05,,27.9
26600,0.008949,5.236e-05,,27.8
26700,0.008838,5.167e-05,,27.7
26800,0.008841,5.099e-05,,28.0
26900,0.008867,5.030e-05,,27.6
27000,0.008887,4.962e-05,,27.4
27100,0.008820,4.894e-05,,27.8
27200,0.008907,4.827e-05,,27.8
27300,0.008856,4.759e-05,,27.8
27400,0.008815,4.692e-05,,28.0
27500,0.008798,4.626e-05,,28.1
27600,0.008957,4.560e-05,,28.5
27700,0.008841,4.494e-05,,28.1
27800,0.008860,4.429e-05,,28.1
27900,0.008863,4.363e-05,,27.5
28000,0.009006,4.299e-05,,28.1
28000,,,35.0958,
28100,0.008578,4.234e-05,,35.4
28200,0.008962,4.170e-05,,28.8
28300,0.008934,4.107e-05,,28.2
28400,0.008684,4.043e-05,,28.7
28500,0.008914,3.980e-05,,28.3
28600,0.008760,3.918e-05,,27.8
28700,0.008928,3.856e-05,,28.1
28800,0.008837,3.794e-05,,28.5
28900,0.008858,3.733e-05,,28.1
29000,0.008865,3.672e-05,,28.7
29100,0.008786,3.611e-05,,28.3
29200,0.008862,3.551e-05,,28.6
29300,0.008970,3.491e-05,,29.2
29400,0.008672,3.432e-05,,28.3
29500,0.008807,3.373e-05,,28.6
29600,0.008841,3.315e-05,,28.1
29700,0.008836,3.257e-05,,27.9
29800,0.008854,3.199e-05,,27.7
29900,0.008808,3.142e-05,,28.3
30000,0.008816,3.085e-05,,27.7
30000,,,35.0810,
30100,0.008893,3.029e-05,,35.4
30200,0.008732,2.973e-05,,27.9
30300,0.008841,2.918e-05,,28.3
30400,0.008739,2.863e-05,,27.6
30500,0.008850,2.808e-05,,28.1
30600,0.008874,2.754e-05,,27.9
30700,0.008815,2.701e-05,,27.8
30800,0.008726,2.647e-05,,27.6
30900,0.008904,2.595e-05,,28.3
31000,0.008898,2.543e-05,,27.5
31100,0.008685,2.491e-05,,28.1
31200,0.008856,2.440e-05,,27.7
31300,0.008774,2.389e-05,,27.7
31400,0.009004,2.339e-05,,27.9
31500,0.008653,2.289e-05,,27.7
31600,0.008786,2.240e-05,,27.7
31700,0.008909,2.191e-05,,28.4
31800,0.008729,2.143e-05,,28.4
31900,0.008812,2.095e-05,,28.2
32000,0.008828,2.048e-05,,27.9
32000,,,35.0626,
32100,0.008780,2.001e-05,,35.6
32200,0.008751,1.954e-05,,28.1
32300,0.008850,1.909e-05,,28.4
32400,0.008807,1.863e-05,,29.2
32500,0.008836,1.819e-05,,28.9
32600,0.008931,1.775e-05,,29.5
32700,0.008633,1.731e-05,,29.9
32800,0.008782,1.688e-05,,29.0
32900,0.008864,1.645e-05,,29.1
33000,0.008747,1.603e-05,,28.9
33100,0.008831,1.561e-05,,29.3
33200,0.008833,1.520e-05,,28.8
33300,0.008722,1.480e-05,,28.8
33400,0.008729,1.440e-05,,28.7
33500,0.008813,1.401e-05,,29.5
33600,0.008841,1.362e-05,,29.0
33700,0.008873,1.324e-05,,28.3
33800,0.008683,1.286e-05,,28.3
33900,0.008822,1.249e-05,,28.0
34000,0.008743,1.212e-05,,28.0
34000,,,35.0377,
34100,0.008913,1.176e-05,,34.9
34200,0.008713,1.140e-05,,29.0
34300,0.008867,1.105e-05,,28.1
34400,0.008702,1.071e-05,,28.8
34500,0.008795,1.037e-05,,28.6
34600,0.008697,1.004e-05,,28.4
34700,0.008940,9.713e-06,,28.5
34800,0.008724,9.392e-06,,28.3
34900,0.008626,9.077e-06,,28.1
35000,0.008985,8.767e-06,,28.8
35100,0.008744,8.464e-06,,28.9
35200,0.008788,8.166e-06,,26.9
35300,0.008680,7.874e-06,,26.4
35400,0.008883,7.588e-06,,27.0
35500,0.008702,7.308e-06,,27.7
35600,0.008941,7.033e-06,,28.0
35700,0.008705,6.765e-06,,27.4
35800,0.008703,6.502e-06,,27.6
35900,0.008913,6.246e-06,,28.2
36000,0.008727,5.995e-06,,27.8
36000,,,35.0393,
36100,0.008767,5.751e-06,,35.2
36200,0.008750,5.512e-06,,27.8
36300,0.008824,5.280e-06,,27.4
36400,0.008736,5.053e-06,,27.5
36500,0.008888,4.832e-06,,26.7
36600,0.008713,4.618e-06,,27.8
36700,0.008902,4.410e-06,,27.7
36800,0.008630,4.207e-06,,28.0
36900,0.008803,4.011e-06,,27.3
37000,0.008718,3.821e-06,,27.4
37100,0.008870,3.637e-06,,27.8
37200,0.008744,3.459e-06,,27.9
37300,0.008799,3.287e-06,,27.8
37400,0.008899,3.121e-06,,27.6
37500,0.008632,2.962e-06,,27.7
37600,0.008800,2.809e-06,,27.7
37700,0.008755,2.662e-06,,26.8
37800,0.008773,2.521e-06,,27.8
37900,0.008803,2.386e-06,,27.9
38000,0.008841,2.257e-06,,28.1
38000,,,35.0312,
38100,0.008681,2.135e-06,,35.1
38200,0.008729,2.019e-06,,27.6
38300,0.008839,1.909e-06,,27.2
38400,0.008756,1.806e-06,,27.2
38500,0.008742,1.708e-06,,27.4
38600,0.008888,1.617e-06,,27.6
38700,0.008692,1.532e-06,,27.4
38800,0.008834,1.454e-06,,27.0
38900,0.008753,1.381e-06,,27.8
39000,0.008734,1.315e-06,,27.6
39100,0.008765,1.255e-06,,27.8
39200,0.008869,1.202e-06,,27.3
39300,0.008687,1.155e-06,,27.5
39400,0.008660,1.114e-06,,27.1
39500,0.008793,1.079e-06,,27.4
39600,0.008867,1.051e-06,,27.3
39700,0.008727,1.029e-06,,26.8
39800,0.008764,1.013e-06,,27.8
39900,0.008829,1.003e-06,,27.3
40000,0.008783,1.000e-06,,26.9
40000,,,35.0328,
